"DatasetName","MonitoringLocationID","MonitoringLocationName","MonitoringLocationLatitude","MonitoringLocationLongitude","MonitoringLocationHorizontalCoordinateReferenceSystem","MonitoringLocationHorizontalAccuracyMeasure","MonitoringLocationHorizontalAccuracyUnit","MonitoringLocationType","ActivityType","ActivityMediaName","ActivityStartDate","ActivityStartTime","ActivityEndDate","ActivityEndTime","ActivityDepthHeightMeasure","ActivityDepthHeightUnit","SampleCollectionEquipmentName","CharacteristicName","MethodSpeciation","ResultSampleFraction","ResultValue","ResultUnit","ResultValueType","ResultDetectionCondition","ResultDetectionQuantitationLimitMeasure","ResultDetectionQuantitationLimitUnit","ResultDetectionQuantitationLimitType","ResultStatusID","ResultComment","ResultAnalyticalMethodID","ResultAnalyticalMethodContext","ResultAnalyticalMethodName","AnalysisStartDate","AnalysisStartTime","AnalysisStartTimeZone","LaboratoryName","LaboratorySampleID"
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-06-15,"","","","-0.2","m","Water Bottle","Escherichia coli","","","20","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-06-14,"","","","-0.2","m","Water Bottle","Escherichia coli","","","","","Actual","Below Detection/Quantification Limit","10","MPN/100mL","Reporting Limit","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-06-13,"","","","-0.2","m","Water Bottle","Escherichia coli","","","63","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-06-12,"","","","-0.2","m","Water Bottle","Escherichia coli","","","","","Actual","Below Detection/Quantification Limit","10","MPN/100mL","Reporting Limit","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-06-11,"","","","-0.2","m","Water Bottle","Escherichia coli","","","","","Actual","Below Detection/Quantification Limit","10","MPN/100mL","Reporting Limit","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-06-10,"","","","-0.2","m","Water Bottle","Escherichia coli","","","20","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-06-09,"","","","-0.2","m","Water Bottle","Escherichia coli","","","","","Actual","Below Detection/Quantification Limit","10","MPN/100mL","Reporting Limit","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-06-08,"","","","-0.2","m","Water Bottle","Escherichia coli","","","41","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-06-07,"","","","-0.2","m","Water Bottle","Escherichia coli","","","145","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-06-06,"","","","-0.2","m","Water Bottle","Escherichia coli","","","20","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-06-05,"","","","-0.2","m","Water Bottle","Escherichia coli","","","52","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-06-04,"","","","-0.2","m","Water Bottle","Escherichia coli","","","","","Actual","Below Detection/Quantification Limit","10","MPN/100mL","Reporting Limit","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-06-03,"","","","-0.2","m","Water Bottle","Escherichia coli","","","10","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-06-02,"","","","-0.2","m","Water Bottle","Escherichia coli","","","","","Actual","Below Detection/Quantification Limit","10","MPN/100mL","Reporting Limit","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-06-01,"","","","-0.2","m","Water Bottle","Escherichia coli","","","","","Actual","Below Detection/Quantification Limit","10","MPN/100mL","Reporting Limit","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-05-31,"","","","-0.2","m","Water Bottle","Escherichia coli","","","10","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-05-30,"","","","-0.2","m","Water Bottle","Escherichia coli","","","","","Actual","Below Detection/Quantification Limit","10","MPN/100mL","Reporting Limit","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-05-29,"","","","-0.2","m","Water Bottle","Escherichia coli","","","","","Actual","Below Detection/Quantification Limit","10","MPN/100mL","Reporting Limit","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-05-28,"","","","-0.2","m","Water Bottle","Escherichia coli","","","","","Actual","Below Detection/Quantification Limit","10","MPN/100mL","Reporting Limit","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-05-27,"","","","-0.2","m","Water Bottle","Escherichia coli","","","10","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-05-26,"","","","-0.2","m","Water Bottle","Escherichia coli","","","","","Actual","Below Detection/Quantification Limit","10","MPN/100mL","Reporting Limit","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-05-25,"","","","-0.2","m","Water Bottle","Escherichia coli","","","","","Actual","Below Detection/Quantification Limit","10","MPN/100mL","Reporting Limit","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-05-24,"","","","-0.2","m","Water Bottle","Escherichia coli","","","","","Actual","Below Detection/Quantification Limit","10","MPN/100mL","Reporting Limit","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-05-23,"","","","-0.2","m","Water Bottle","Escherichia coli","","","","","Actual","Below Detection/Quantification Limit","10","MPN/100mL","Reporting Limit","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-05-22,"","","","-0.2","m","Water Bottle","Escherichia coli","","","","","Actual","Below Detection/Quantification Limit","10","MPN/100mL","Reporting Limit","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-05-21,"","","","-0.2","m","Water Bottle","Escherichia coli","","","","","Actual","Below Detection/Quantification Limit","10","MPN/100mL","Reporting Limit","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-05-20,"","","","-0.2","m","Water Bottle","Escherichia coli","","","","","Actual","Below Detection/Quantification Limit","10","MPN/100mL","Reporting Limit","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-05-19,"","","","-0.2","m","Water Bottle","Escherichia coli","","","","","Actual","Below Detection/Quantification Limit","10","MPN/100mL","Reporting Limit","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-05-18,"","","","-0.2","m","Water Bottle","Escherichia coli","","","","","Actual","Below Detection/Quantification Limit","10","MPN/100mL","Reporting Limit","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-05-17,"","","","-0.2","m","Water Bottle","Escherichia coli","","","","","Actual","Below Detection/Quantification Limit","10","MPN/100mL","Reporting Limit","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2022-09-21,"","","","-0.2","m","Water Bottle","Escherichia coli","","","121","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2022-09-20,"","","","-0.2","m","Water Bottle","Escherichia coli","","","10","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2022-09-19,"","","","-0.2","m","Water Bottle","Escherichia coli","","","10","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2022-09-18,"","","","-0.2","m","Water Bottle","Escherichia coli","","","75","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2022-09-17,"","","","-0.2","m","Water Bottle","Escherichia coli","","","63","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2022-09-16,"","","","-0.2","m","Water Bottle","Escherichia coli","","","109","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2022-09-15,"","","","-0.2","m","Water Bottle","Escherichia coli","","","20","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2022-09-14,"","","","-0.2","m","Water Bottle","Escherichia coli","","","10","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2022-09-13,"","","","-0.2","m","Water Bottle","Escherichia coli","","","63","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2022-09-12,"","","","-0.2","m","Water Bottle","Escherichia coli","","","52","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2022-09-11,"","","","-0.2","m","Water Bottle","Escherichia coli","","","10","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2022-09-10,"","","","-0.2","m","Water Bottle","Escherichia coli","","","175","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2022-09-09,"","","","-0.2","m","Water Bottle","Escherichia coli","","","75","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2022-09-08,"","","","-0.2","m","Water Bottle","Escherichia coli","","","52","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2022-09-07,"","","","-0.2","m","Water Bottle","Escherichia coli","","","31","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2022-09-06,"","","","-0.2","m","Water Bottle","Escherichia coli","","","432","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2022-09-05,"","","","-0.2","m","Water Bottle","Escherichia coli","","","156","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2022-09-04,"","","","-0.2","m","Water Bottle","Escherichia coli","","","","","Actual","Below Detection/Quantification Limit","10","MPN/100mL","Reporting Limit","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2022-09-03,"","","","-0.2","m","Water Bottle","Escherichia coli","","","63","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2022-09-02,"","","","-0.2","m","Water Bottle","Escherichia coli","","","85","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2022-09-01,"","","","-0.2","m","Water Bottle","Escherichia coli","","","86","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2022-08-31,"","","","-0.2","m","Water Bottle","Escherichia coli","","","","","Actual","Below Detection/Quantification Limit","10","MPN/100mL","Reporting Limit","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2022-08-30,"","","","-0.2","m","Water Bottle","Escherichia coli","","","84","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2022-08-29,"","","","-0.2","m","Water Bottle","Escherichia coli","","","20","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2022-08-28,"","","","-0.2","m","Water Bottle","Escherichia coli","","","63","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2022-08-27,"","","","-0.2","m","Water Bottle","Escherichia coli","","","960","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2022-08-26,"","","","-0.2","m","Water Bottle","Escherichia coli","","","189","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2022-08-25,"","","","-0.2","m","Water Bottle","Escherichia coli","","","63","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2022-08-24,"","","","-0.2","m","Water Bottle","Escherichia coli","","","1014","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2022-08-23,"","","","-0.2","m","Water Bottle","Escherichia coli","","","109","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2022-08-22,"","","","-0.2","m","Water Bottle","Escherichia coli","","","63","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2022-08-21,"","","","-0.2","m","Water Bottle","Escherichia coli","","","85","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2022-08-20,"","","","-0.2","m","Water Bottle","Escherichia coli","","","63","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2022-08-19,"","","","-0.2","m","Water Bottle","Escherichia coli","","","41","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2022-08-18,"","","","-0.2","m","Water Bottle","Escherichia coli","","","63","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2022-08-17,"","","","-0.2","m","Water Bottle","Escherichia coli","","","294","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2022-08-16,"","","","-0.2","m","Water Bottle","Escherichia coli","","","110","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2022-08-15,"","","","-0.2","m","Water Bottle","Escherichia coli","","","269","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2022-08-14,"","","","-0.2","m","Water Bottle","Escherichia coli","","","161","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2022-08-13,"","","","-0.2","m","Water Bottle","Escherichia coli","","","203","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2022-08-12,"","","","-0.2","m","Water Bottle","Escherichia coli","","","63","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 2","Parlee Beach Provincial Park",46.240904,-64.510715,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2022-08-11,"","","","-0.2","m","Water Bottle","Escherichia coli","","","31","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
